PULocationID,weather,season,time,pickup_area,trip_distance
32,sunny,fall,day,not manhattan,3.9166666666666665
32,sunny,fall,night,not manhattan,3.6775
32,sunny,spring,day,not manhattan,5.0409999999999995
32,sunny,spring,night,not manhattan,5.60375
32,sunny,summer,day,not manhattan,4.3549999999999995
32,sunny,summer,night,not manhattan,2.865
32,sunny,winter,day,not manhattan,7.0685714285714285
32,sunny,winter,night,not manhattan,4.0
33,rainy,fall,day,not manhattan,4.630457746478873
33,rainy,fall,night,not manhattan,4.734111111111111
33,rainy,spring,day,not manhattan,4.564358974358974
33,rainy,spring,night,not manhattan,4.356416666666666
33,rainy,summer,day,not manhattan,5.398798076923077
33,rainy,summer,night,not manhattan,4.0285714285714285
33,rainy,winter,day,not manhattan,4.167638888888889
33,rainy,winter,night,not manhattan,4.277551020408163
33,sunny,fall,day,not manhattan,4.993198380566802
33,sunny,fall,night,not manhattan,4.636549079754602
33,sunny,spring,day,not manhattan,4.647246790299572
33,sunny,spring,night,not manhattan,4.649213793103448
33,sunny,summer,day,not manhattan,5.013989108236896
33,sunny,summer,night,not manhattan,4.820479452054794
33,sunny,winter,day,not manhattan,4.3700628019323675
33,sunny,winter,night,not manhattan,4.247810026385224
34,rainy,fall,day,not manhattan,3.802380952380952
34,rainy,spring,day,not manhattan,3.183333333333333
34,rainy,spring,night,not manhattan,3.035
34,rainy,summer,day,not manhattan,3.9675000000000002
34,rainy,summer,night,not manhattan,3.375
34,rainy,winter,day,not manhattan,3.2653333333333334
34,rainy,winter,night,not manhattan,3.226
34,sunny,fall,day,not manhattan,4.321454545454546
34,sunny,fall,night,not manhattan,3.5227999999999997
34,sunny,spring,day,not manhattan,3.947666666666667
34,sunny,spring,night,not manhattan,3.9152
34,sunny,summer,day,not manhattan,4.354197530864197
34,sunny,summer,night,not manhattan,4.7780645161290325
34,sunny,winter,day,not manhattan,3.7958064516129033
34,sunny,winter,night,not manhattan,2.635
35,rainy,fall,day,not manhattan,0.34
35,rainy,fall,night,not manhattan,2.17
35,rainy,spring,day,not manhattan,3.138333333333333
35,rainy,spring,night,not manhattan,13.07
35,rainy,summer,day,not manhattan,4.74
35,rainy,summer,night,not manhattan,3.49
35,rainy,winter,day,not manhattan,13.89
35,rainy,winter,night,not manhattan,5.096
35,sunny,fall,day,not manhattan,4.342333333333333
35,sunny,fall,night,not manhattan,7.403999999999999
35,sunny,spring,day,not manhattan,11.120588235294118
35,sunny,spring,night,not manhattan,3.748888888888889
35,sunny,summer,day,not manhattan,5.1228
35,sunny,summer,night,not manhattan,5.086666666666667
35,sunny,winter,day,not manhattan,5.046818181818182
35,sunny,winter,night,not manhattan,5.0329999999999995
36,rainy,fall,day,not manhattan,6.597999999999999
