PULocationID,weather,season,time,pickup_area,duration
28,sunny,spring,day,not manhattan,2114.301369863014
28,sunny,spring,night,not manhattan,1317.986111111111
28,sunny,summer,day,not manhattan,1972.6813559322034
28,sunny,summer,night,not manhattan,1344.6162790697674
28,sunny,winter,day,not manhattan,1696.8504672897195
28,sunny,winter,night,not manhattan,1264.9444444444443
29,rainy,fall,day,not manhattan,1060.25
29,rainy,spring,day,not manhattan,546.5
29,rainy,summer,day,not manhattan,2408.6666666666665
29,rainy,summer,night,not manhattan,776.5
29,rainy,winter,day,not manhattan,1543.1666666666667
29,sunny,fall,day,not manhattan,2472.4761904761904
29,sunny,fall,night,not manhattan,1015.0
29,sunny,spring,day,not manhattan,1783.391304347826
29,sunny,spring,night,not manhattan,1155.5714285714287
29,sunny,summer,day,not manhattan,2816.5714285714284
29,sunny,summer,night,not manhattan,968.0
29,sunny,winter,day,not manhattan,2091.090909090909
29,sunny,winter,night,not manhattan,1613.0
30,rainy,fall,day,not manhattan,750.0
30,rainy,spring,day,not manhattan,4179.0
30,sunny,fall,day,not manhattan,2197.5000000000005
30,sunny,fall,night,not manhattan,1705.0
30,sunny,summer,day,not manhattan,2669.0
30,sunny,summer,night,not manhattan,1164.5
30,sunny,winter,day,not manhattan,1213.0
31,rainy,fall,day,not manhattan,2838.0
31,rainy,spring,day,not manhattan,2023.875
31,rainy,spring,night,not manhattan,1172.0
31,rainy,summer,day,not manhattan,1475.5
31,rainy,summer,night,not manhattan,553.0
31,rainy,winter,day,not manhattan,1252.3333333333333
31,sunny,fall,day,not manhattan,1778.8461538461538
31,sunny,spring,day,not manhattan,1760.0689655172414
31,sunny,spring,night,not manhattan,534.75
31,sunny,summer,day,not manhattan,1669.4782608695652
31,sunny,summer,night,not manhattan,358.0
31,sunny,winter,day,not manhattan,1198.8235294117646
32,rainy,fall,day,not manhattan,2678.0
32,rainy,fall,night,not manhattan,747.0
32,rainy,spring,day,not manhattan,767.0
32,rainy,spring,night,not manhattan,612.0
32,rainy,summer,day,not manhattan,1186.6666666666667
32,rainy,winter,day,not manhattan,2052.0
32,rainy,winter,night,not manhattan,712.5
32,sunny,fall,day,not manhattan,1141.0
32,sunny,fall,night,not manhattan,809.0
32,sunny,spring,day,not manhattan,1457.4
32,sunny,spring,night,not manhattan,847.0
32,sunny,summer,day,not manhattan,1160.4166666666667
32,sunny,summer,night,not manhattan,614.6666666666666
32,sunny,winter,day,not manhattan,1177.5
32,sunny,winter,night,not manhattan,1532.0
33,rainy,fall,day,not manhattan,1215.911971830986
33,rainy,fall,night,not manhattan,977.9333333333333
33,rainy,spring,day,not manhattan,1226.15233785822
33,rainy,spring,night,not manhattan,920.6916666666667
33,rainy,summer,day,not manhattan,1299.7548076923076
33,rainy,summer,night,not manhattan,868.8035714285714
33,rainy,winter,day,not manhattan,1153.3935185185185
33,rainy,winter,night,not manhattan,929.4489795918367
33,sunny,fall,day,not manhattan,1298.3090418353577
33,sunny,fall,night,not manhattan,1023.7898773006135
33,sunny,spring,day,not manhattan,1217.9614835948644
33,sunny,spring,night,not manhattan,993.6441379310345
33,sunny,summer,day,not manhattan,1245.1286589516678
33,sunny,summer,night,not manhattan,1063.519406392694
33,sunny,winter,day,not manhattan,1126.924154589372
