DOLocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,number_of_trips
8,rainy,fall,night,not manhattan,27.56,132.0,17.13,160.13,68.13333333333333,5
8,rainy,spring,day,manhattan,95.38,379.0,44.77,510.52,407.85,15
8,rainy,spring,day,not manhattan,77.35,266.5,57.18,363.33,186.71666666666667,10
8,rainy,spring,night,manhattan,57.32,219.0,28.7,289.5,269.65,11
8,rainy,spring,night,not manhattan,29.07,113.5,23.87,157.72,122.46666666666667,7
8,rainy,summer,day,manhattan,98.11,359.5,65.64,517.09,383.56666666666666,14
8,rainy,summer,day,not manhattan,42.99,158.5,12.36,195.10999999999999,161.78333333333333,9
8,rainy,summer,night,manhattan,11.69,42.0,9.91,59.51,47.78333333333333,2
8,rainy,summer,night,not manhattan,4.13,13.5,2.96,19.01,9.933333333333334,1
8,rainy,winter,day,manhattan,26.64,161.1,26.22,216.37,111.8,6
8,rainy,winter,day,not manhattan,94.8,284.0,41.26,354.40999999999997,264.9666666666667,12
8,rainy,winter,night,manhattan,47.95,201.4,23.53,261.53000000000003,232.51666666666665,9
8,rainy,winter,night,not manhattan,7.83,25.5,7.2,37.8,18.483333333333334,2
8,sunny,fall,day,manhattan,325.26,1249.5,222.27,1783.32,1412.1166666666668,50
8,sunny,fall,day,not manhattan,370.88,1185.0,219.86,1555.11,1085.8166666666666,45
8,sunny,fall,night,manhattan,395.17,1454.0,208.57,1923.17,1687.1666666666667,63
8,sunny,fall,night,not manhattan,137.69,420.0,81.14,542.69,249.91666666666666,15
8,sunny,spring,day,manhattan,288.9,1064.5,200.85999999999999,1534.16,1205.9333333333334,45
8,sunny,spring,day,not manhattan,305.15,957.0,124.82,1203.12,852.3333333333334,46
8,sunny,spring,night,manhattan,373.57,1353.5,157.17,1784.92,1526.2833333333333,65
8,sunny,spring,night,not manhattan,159.51,491.5,78.75,622.65,353.1166666666667,23
8,sunny,summer,day,manhattan,371.21999999999997,1311.0,250.66,1886.96,1475.75,56
8,sunny,summer,day,not manhattan,303.43,969.5,104.02,1183.97,880.1333333333333,51
8,sunny,summer,night,manhattan,405.9,1409.5,216.49,1894.59,1518.25,61
8,sunny,summer,night,not manhattan,228.28,709.5,115.79,926.54,551.45,32
8,sunny,winter,day,manhattan,203.82,747.7,130.47,1060.97,821.3666666666667,34
8,sunny,winter,day,not manhattan,311.15,940.0,101.75,1149.1499999999999,727.3166666666667,36
8,sunny,winter,night,manhattan,230.29,885.0,129.32,1183.52,961.3,39
8,sunny,winter,night,not manhattan,110.1,383.9,46.07,493.87,251.95,17
9,rainy,fall,day,manhattan,231.8,763.0,95.6,1012.9,864.65,17
9,rainy,fall,day,not manhattan,693.86,2131.0,219.68,2501.83,1860.1166666666666,68
9,rainy,fall,night,manhattan,82.39,250.5,31.61,337.65999999999997,210.78333333333333,6
9,rainy,fall,night,not manhattan,442.77,1249.5,127.06,1473.46,819.1,38
9,rainy,spring,day,manhattan,157.72,462.0,85.63,641.88,420.08333333333337,11
9,rainy,spring,day,not manhattan,927.06,2808.0,309.07,3315.47,2470.8166666666666,88
9,rainy,spring,night,manhattan,69.24,198.5,45.07,282.21999999999997,148.83333333333331,5
9,rainy,spring,night,not manhattan,587.99,1687.5,186.72,2009.9199999999998,1137.2166666666667,53
9,rainy,summer,day,manhattan,164.27,527.5,88.64,726.24,584.1833333333334,12
9,rainy,summer,day,not manhattan,1003.79,3006.0,368.38,3594.63,2698.133333333333,90
9,rainy,summer,night,manhattan,68.73,195.0,25.62,265.82,136.86666666666667,5
9,rainy,summer,night,not manhattan,236.96,685.5,102.44,845.29,485.45,22
9,rainy,winter,day,manhattan,134.84,473.2,63.2,621.5,448.56666666666666,10
9,rainy,winter,day,not manhattan,689.37,2120.8,240.22,2528.0699999999997,1647.5333333333333,65
9,rainy,winter,night,manhattan,103.64,309.5,66.7,435.05,227.9,7
9,rainy,winter,night,not manhattan,342.04,1045.7,96.41,1226.81,652.9,33
9,sunny,fall,day,manhattan,788.16,2444.0,319.37,3222.57,2532.266666666667,54
9,sunny,fall,day,not manhattan,4558.94,13679.0,1511.96,16216.359999999999,12350.8,437
9,sunny,fall,night,manhattan,805.66,2348.0,380.13,3239.08,1815.5666666666666,61
9,sunny,fall,night,not manhattan,1609.87,4641.0,520.33,5520.58,3075.75,145
9,sunny,spring,day,manhattan,1135.71,3425.33,469.13,4592.41,3379.45,79
9,sunny,spring,day,not manhattan,4074.68,12144.5,1489.08,14525.23,10725.116666666667,386
9,sunny,spring,night,manhattan,937.49,2735.0,446.37,3729.22,2054.883333333333,67
9,sunny,spring,night,not manhattan,2290.44,6561.0,719.7,7815.9,4239.316666666667,212
9,sunny,summer,day,manhattan,938.34,2888.5,439.73,3883.63,3019.4333333333334,66
9,sunny,summer,day,not manhattan,5788.59,17296.0,2004.96,20591.46,15204.45,535
9,sunny,summer,night,manhattan,960.78,2782.5,376.17,3750.97,2059.5333333333333,71
9,sunny,summer,night,not manhattan,3087.7,8817.0,921.38,10416.73,5903.266666666666,271
9,sunny,winter,day,manhattan,692.16,2222.9,290.69,2932.89,2048.9833333333336,48
9,sunny,winter,day,not manhattan,3019.23,9415.65,1060.7,11255.15,7233.433333333333,281
9,sunny,winter,night,manhattan,693.5,2154.3,367.03,2925.73,1519.6,52
9,sunny,winter,night,not manhattan,1264.23,3907.2,374.26,4647.71,2308.9,110
10,rainy,fall,day,manhattan,734.29,2269.62,310.38,3004.9,2527.1833333333334,45
10,rainy,fall,day,not manhattan,3547.89,12943.2,1388.99,16341.29,10568.483333333334,828
10,rainy,fall,night,manhattan,348.44,1097.0,156.26,1458.81,839.2666666666667,24
10,rainy,fall,night,not manhattan,2014.94,7007.5,808.24,9145.79,4949.816666666667,515
10,rainy,spring,day,manhattan,895.12,2888.0,345.42,3746.02,3142.7833333333333,57
10,rainy,spring,day,not manhattan,3279.88,11617.1,1428.98,14817.58,9960.983333333334,704
10,rainy,spring,night,manhattan,426.95,1292.0,190.29,1697.79,1043.9666666666667,27
10,rainy,spring,night,not manhattan,1821.28,6225.0,819.6899999999999,8167.59,4485.65,444
10,rainy,summer,day,manhattan,1012.74,3141.7,374.89,4043.19,3382.1833333333334,60
10,rainy,summer,day,not manhattan,2896.48,10277.5,1274.48,13169.99,8779.35,624
10,rainy,summer,night,manhattan,188.68,567.5,59.07,735.67,409.23333333333335,12
10,rainy,summer,night,not manhattan,1118.05,3753.0,459.65,4918.900000000001,2813.2333333333336,279
10,rainy,winter,day,manhattan,782.4300000000001,2759.0,347.36,3602.21,2857.866666666667,50
10,rainy,winter,day,not manhattan,3113.62,11482.8,1233.99,14666.14,8836.9,756
10,rainy,winter,night,manhattan,223.53,751.7,55.68,908.28,520.7,14
10,rainy,winter,night,not manhattan,1675.98,6124.1,838.58,8225.630000000001,4195.816666666667,445
10,sunny,fall,day,manhattan,4338.34,14178.99,1876.82,18510.86,15543.916666666668,273
10,sunny,fall,day,not manhattan,17233.38,61477.38,6653.26,78053.94,51014.416666666664,3952
10,sunny,fall,night,manhattan,1859.28,5744.5,717.1,7382.8,4448.566666666667,118
10,sunny,fall,night,not manhattan,9030.76,31247.0,3977.41,41218.61,22291.3,2339
10,sunny,spring,day,manhattan,3657.01,11783.0,1573.61,15491.51,11978.583333333334,231
10,sunny,spring,day,not manhattan,14652.65,51561.2,6130.26,65486.12,43297.416666666664,3057
10,sunny,spring,night,manhattan,2241.19,6866.3,664.7,8657.3,5412.466666666667,142
10,sunny,spring,night,not manhattan,8074.16,27314.75,3641.2,35813.8,19689.233333333334,1935
10,sunny,summer,day,manhattan,5036.99,16237.1,1933.17,21115.72,17153.95,315
10,sunny,summer,day,not manhattan,19331.12,69341.88,7578.54,87648.13,57823.416666666664,4184
10,sunny,summer,night,manhattan,3125.84,9509.7,815.23,12013.58,7507.433333333333,201
10,sunny,summer,night,not manhattan,12106.46,41885.72,5213.97,54744.24,30854.11666666667,3000
10,sunny,winter,day,manhattan,3551.11,12393.3,1630.61,16102.31,10644.266666666666,227
10,sunny,winter,day,not manhattan,13254.21,49989.8,5529.43,64386.28,36878.333333333336,3137
10,sunny,winter,night,manhattan,1377.6,4668.8,617.28,6032.13,3263.733333333333,89
10,sunny,winter,night,not manhattan,8131.81,29932.7,3895.64,39720.340000000004,19426.3,2067
11,rainy,fall,day,manhattan,207.45,627.5,46.54,788.49,570.8666666666667,15
11,rainy,fall,day,not manhattan,777.03,2121.5,205.85,2427.1,1622.6666666666667,40
11,rainy,fall,night,manhattan,197.37,586.0,53.24,744.84,495.5,14
11,rainy,fall,night,not manhattan,304.33,824.0,89.55,954.4499999999999,455.6666666666667,18
