PULocationID,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
75,sunny,spring,night,manhattan,18521.57,72066.9,10347.68,100680.25,63648.2,26137.23051065328,57643.549661220204,6257
75,sunny,summer,day,manhattan,115321.27,504730.94,78643.29,708202.66,559088.0833333334,246232.66063289676,431918.2383379298,42828
75,sunny,summer,night,manhattan,19863.4,77709.45,10724.56,108168.52,71136.6,28820.861638920804,61320.54024786659,6819
75,sunny,winter,day,manhattan,106914.7,507445.61,78453.24,714759.8200000001,552654.5666666667,268513.35682158684,443052.66311191354,44132
75,sunny,winter,night,manhattan,14462.21,60357.38,8296.4,84363.98,50657.833333333336,22583.618270833285,47043.336976052335,5351
76,rainy,fall,day,not manhattan,80.01,405.0,59.24,506.34000000000003,348.3833333333333,93.02656532610911,109.65678700191974,16
76,rainy,fall,night,not manhattan,49.83,172.0,16.52,202.32000000000002,220.68333333333334,51.725775324237794,53.13531353135313,10
76,rainy,spring,day,not manhattan,134.02,679.5,52.480000000000004,787.43,562.7333333333333,101.9404865237227,118.63827449242336,22
76,rainy,spring,night,not manhattan,18.99,63.0,0.0,68.2,56.71666666666667,13.888492775856935,0.0,4
76,rainy,summer,day,not manhattan,96.46,501.5,51.84,605.64,403.23333333333335,90.2429272380021,79.8702672213213,19
76,rainy,summer,night,not manhattan,7.6899999999999995,32.5,5.19,41.589999999999996,36.2,14.266288515406163,23.07692307692308,3
76,rainy,winter,day,not manhattan,59.75,295.4,30.88,387.43,441.26666666666665,142.65859808195376,120.20147835324556,20
76,rainy,winter,night,not manhattan,56.44,241.5,12.36,285.15999999999997,128.85,32.612068550109896,22.203765227021037,8
76,sunny,fall,day,not manhattan,884.62,4154.65,448.45,4901.86,3143.65,610.6341375795179,805.8192927863649,127
76,sunny,fall,night,not manhattan,221.93,784.5,90.43,962.83,621.8833333333333,149.72453747586465,206.41856318866124,37
76,sunny,spring,day,not manhattan,557.45,2391.5,238.33,2847.7799999999997,2356.95,465.3965232577301,433.98163259870694,87
