pickup_at,weather,season,time,pickup_area,trip_distance,fare_amount,tip_amount,total_amount,duration,duration_per_distance,tip_percentage,number_of_trips
Saturday,sunny,spring,night,manhattan,842706.32,3529503.64,707474.69,5406030.85,3789635.9499999997,1615671.672701579,3814158.479342503,301405
Saturday,sunny,spring,night,not manhattan,310334.19,957623.14,155694.75,1285584.2,733824.1166666667,116302.80931640355,375584.36250992655,33056
Saturday,sunny,summer,day,manhattan,1868038.58,8390455.28,1552196.09,12465536.58,9402655.516666666,4458166.187505155,8467730.50981439,714008
Saturday,sunny,summer,day,not manhattan,1022517.12,3217316.97,508057.66,4310248.47,2931819.1666666665,411420.6104764144,1112715.8061388598,101375
Saturday,sunny,summer,night,manhattan,962338.02,4025910.74,777894.13,6108100.17,4354611.8,1817033.4038982906,4122680.79536704,335350
Saturday,sunny,summer,night,not manhattan,421169.11,1298164.26,201316.83,1720494.02,1034505.45,146218.6582801442,457481.62075668346,42068
Saturday,sunny,winter,day,manhattan,1560059.48,7667216.6,1483838.73,11514523.9,8594572.933333334,4511565.746586056,8356866.701554113,674126
Saturday,sunny,winter,day,not manhattan,741538.48,2437298.45,393012.27,3287840.95,2036133.4,334417.2430783308,889324.5358901971,78641
Saturday,sunny,winter,night,manhattan,832083.93,3653365.78,736708.84,5610281.82,3869865.5,1736404.4864160381,3951568.4007057403,309244
Saturday,sunny,winter,night,not manhattan,272455.57,885954.95,140383.99,1179604.33,625519.3333333334,108617.74003837527,333523.8909742434,29714
Sunday,rainy,fall,day,manhattan,509990.21,2293332.0,433715.91,3404312.87,2613955.1166666667,1211061.4751824504,2271061.987431662,185920
Sunday,rainy,fall,day,not manhattan,418291.2,1291794.33,222320.43,1749738.65,1168610.25,138537.1767329684,442838.1748625899,37096
Sunday,rainy,fall,night,manhattan,124824.78,513526.14,96533.81,781275.42,540836.0833333334,228594.59880359095,517426.84886271745,43802
Sunday,rainy,fall,night,not manhattan,130753.06,388043.62,64765.53,522178.01,277190.3833333333,30857.128651628398,130132.82806088621,11214
Sunday,rainy,spring,day,manhattan,426744.56,1847070.21,356666.92,2779651.8,1975454.8166666667,926175.2746389861,1971693.1837969308,160370
Sunday,rainy,spring,day,not manhattan,277571.03,851729.91,151088.79,1165033.05,733875.0,93393.54921588134,314871.5213902497,25877
Sunday,rainy,spring,night,manhattan,161359.68,642905.45,126266.02,983563.11,678997.9333333333,274407.39005179267,686654.3588515755,55150
Sunday,rainy,spring,night,not manhattan,76215.54,229135.07,38351.77,307090.81,164300.5,22539.475501060893,85661.81874287555,7432
Sunday,rainy,summer,day,manhattan,328591.94,1417023.04,263555.17,2098554.1,1531453.1166666667,685300.7736948617,1377093.049267829,114925
