PULocationID,weather,season,time,pickup_area,tip_amount
28,rainy,fall,night,not manhattan,10.079230769230769
28,rainy,spring,day,not manhattan,7.6974
28,rainy,spring,night,not manhattan,5.622
28,rainy,summer,day,not manhattan,10.364901960784314
28,rainy,summer,night,not manhattan,5.21
28,rainy,winter,day,not manhattan,8.636315789473684
28,rainy,winter,night,not manhattan,9.76941176470588
28,sunny,fall,day,not manhattan,7.9224723247232465
28,sunny,fall,night,not manhattan,7.7074
28,sunny,spring,day,not manhattan,7.631404109589041
28,sunny,spring,night,not manhattan,8.907083333333333
28,sunny,summer,day,not manhattan,8.032237288135592
28,sunny,summer,night,not manhattan,7.407093023255814
28,sunny,winter,day,not manhattan,7.530046728971963
28,sunny,winter,night,not manhattan,8.15861111111111
29,rainy,fall,day,not manhattan,4.3149999999999995
29,rainy,spring,day,not manhattan,0.0
29,rainy,summer,day,not manhattan,5.0
29,rainy,summer,night,not manhattan,3.145
29,rainy,winter,day,not manhattan,6.088333333333334
29,sunny,fall,day,not manhattan,8.96047619047619
29,sunny,fall,night,not manhattan,6.573333333333333
29,sunny,spring,day,not manhattan,3.6469565217391304
29,sunny,spring,night,not manhattan,5.181428571428571
29,sunny,summer,day,not manhattan,5.121785714285714
29,sunny,summer,night,not manhattan,1.6666666666666667
29,sunny,winter,day,not manhattan,5.512727272727273
29,sunny,winter,night,not manhattan,7.792
30,rainy,fall,day,not manhattan,0.0
30,rainy,spring,day,not manhattan,0.0
30,sunny,fall,day,not manhattan,0.0
30,sunny,fall,night,not manhattan,5.85
30,sunny,summer,day,not manhattan,14.83
30,sunny,summer,night,not manhattan,3.28
30,sunny,winter,day,not manhattan,0.0
31,rainy,fall,day,not manhattan,5.0
31,rainy,spring,day,not manhattan,4.2025
31,rainy,spring,night,not manhattan,15.366666666666667
31,rainy,summer,day,not manhattan,0.0
31,rainy,summer,night,not manhattan,0.0
31,rainy,winter,day,not manhattan,4.406666666666666
31,sunny,fall,day,not manhattan,5.153076923076923
31,sunny,spring,day,not manhattan,4.923448275862069
31,sunny,spring,night,not manhattan,0.5
31,sunny,summer,day,not manhattan,2.803913043478261
31,sunny,summer,night,not manhattan,18.37
31,sunny,winter,day,not manhattan,1.9864705882352942
32,rainy,fall,day,not manhattan,0.0
32,rainy,fall,night,not manhattan,2.0
32,rainy,spring,day,not manhattan,0.0
32,rainy,spring,night,not manhattan,0.0
32,rainy,summer,day,not manhattan,0.27666666666666667
32,rainy,winter,day,not manhattan,0.0
32,rainy,winter,night,not manhattan,0.0
32,sunny,fall,day,not manhattan,1.3466666666666667
32,sunny,fall,night,not manhattan,0.0
32,sunny,spring,day,not manhattan,0.8720000000000001
32,sunny,spring,night,not manhattan,6.55875
32,sunny,summer,day,not manhattan,0.45416666666666666
32,sunny,summer,night,not manhattan,2.54
32,sunny,winter,day,not manhattan,3.9435714285714285
32,sunny,winter,night,not manhattan,0.0
33,rainy,fall,day,not manhattan,3.2175176056338026
33,rainy,fall,night,not manhattan,3.1258888888888885
33,rainy,spring,day,not manhattan,3.275610859728507
33,rainy,spring,night,not manhattan,3.3526666666666665
33,rainy,summer,day,not manhattan,3.117524038461539
33,rainy,summer,night,not manhattan,2.9033928571428573
33,rainy,winter,day,not manhattan,3.3868287037037033
33,rainy,winter,night,not manhattan,3.1563265306122448
33,sunny,fall,day,not manhattan,3.4639203778677463
33,sunny,fall,night,not manhattan,2.996855828220859
33,sunny,spring,day,not manhattan,3.273774607703281
33,sunny,spring,night,not manhattan,3.169489655172414
33,sunny,summer,day,not manhattan,3.171548672566372
33,sunny,summer,night,not manhattan,2.8853995433789956
33,sunny,winter,day,not manhattan,3.350454106280193
33,sunny,winter,night,not manhattan,3.4218733509234833
34,rainy,fall,day,not manhattan,3.705238095238095
34,rainy,spring,day,not manhattan,2.7560000000000002
34,rainy,spring,night,not manhattan,2.98
34,rainy,summer,day,not manhattan,3.2385714285714284
34,rainy,summer,night,not manhattan,2.005
34,rainy,winter,day,not manhattan,7.052666666666667
34,rainy,winter,night,not manhattan,2.2439999999999998
34,sunny,fall,day,not manhattan,3.3122727272727275
34,sunny,fall,night,not manhattan,3.01
34,sunny,spring,day,not manhattan,2.965666666666667
34,sunny,spring,night,not manhattan,1.6052000000000002
34,sunny,summer,day,not manhattan,2.99641975308642
34,sunny,summer,night,not manhattan,2.511290322580645
34,sunny,winter,day,not manhattan,3.3430645161290324
34,sunny,winter,night,not manhattan,3.845
35,rainy,fall,day,not manhattan,0.0
35,rainy,fall,night,not manhattan,1.995
35,rainy,spring,day,not manhattan,0.0
35,rainy,spring,night,not manhattan,0.0
35,rainy,summer,day,not manhattan,1.9142857142857141
35,rainy,summer,night,not manhattan,0.0
35,rainy,winter,day,not manhattan,0.0
35,rainy,winter,night,not manhattan,1.442
35,sunny,fall,day,not manhattan,2.5896666666666666
35,sunny,fall,night,not manhattan,2.02
35,sunny,spring,day,not manhattan,1.7064705882352942
35,sunny,spring,night,not manhattan,0.8400000000000001
35,sunny,summer,day,not manhattan,1.4139999999999997
35,sunny,summer,night,not manhattan,0.0
35,sunny,winter,day,not manhattan,1.002727272727273
35,sunny,winter,night,not manhattan,0.875
36,rainy,fall,day,not manhattan,4.894
36,rainy,fall,night,not manhattan,3.347297297297297
36,rainy,spring,day,not manhattan,3.285
36,rainy,spring,night,not manhattan,2.68025641025641
36,rainy,summer,day,not manhattan,3.046666666666667
36,rainy,summer,night,not manhattan,2.832307692307692
36,rainy,winter,day,not manhattan,1.3828571428571428
36,rainy,winter,night,not manhattan,2.9911111111111115
36,sunny,fall,day,not manhattan,2.0141666666666667
36,sunny,fall,night,not manhattan,2.810974358974359
36,sunny,spring,day,not manhattan,2.6839999999999997
36,sunny,spring,night,not manhattan,3.050591397849462
36,sunny,summer,day,not manhattan,1.7265306122448978
36,sunny,summer,night,not manhattan,2.8464566929133857
36,sunny,winter,day,not manhattan,2.569310344827586
36,sunny,winter,night,not manhattan,2.6898039215686276
37,rainy,fall,day,not manhattan,1.9219047619047618
37,rainy,fall,night,not manhattan,2.9607317073170734
37,rainy,spring,day,not manhattan,1.6476923076923078
37,rainy,spring,night,not manhattan,2.458936170212766
37,rainy,summer,day,not manhattan,2.047142857142857
37,rainy,summer,night,not manhattan,1.6300000000000001
37,rainy,winter,day,not manhattan,4.2494736842105265
37,rainy,winter,night,not manhattan,3.0835
37,sunny,fall,day,not manhattan,2.884782608695652
37,sunny,fall,night,not manhattan,2.795125
37,sunny,spring,day,not manhattan,1.7765591397849463
37,sunny,spring,night,not manhattan,2.287264150943396
37,sunny,summer,day,not manhattan,2.075892857142857
37,sunny,summer,night,not manhattan,2.5025757575757575
37,sunny,winter,day,not manhattan,2.7267441860465116
37,sunny,winter,night,not manhattan,2.8604945054945055
38,rainy,fall,day,not manhattan,24.32166666666667
38,rainy,spring,day,not manhattan,3.4285714285714284
38,rainy,summer,day,not manhattan,4.317142857142857
38,rainy,winter,day,not manhattan,5.522857142857142
38,rainy,winter,night,not manhattan,2.02
38,sunny,fall,day,not manhattan,5.4873529411764705
38,sunny,fall,night,not manhattan,6.4025
38,sunny,spring,day,not manhattan,3.8007692307692307
38,sunny,spring,night,not manhattan,3.0925
38,sunny,summer,day,not manhattan,3.077297297297297
38,sunny,summer,night,not manhattan,0.0
38,sunny,winter,day,not manhattan,3.5368292682926827
38,sunny,winter,night,not manhattan,1.72
39,rainy,fall,day,not manhattan,1.693
39,rainy,fall,night,not manhattan,20.337500000000002
39,rainy,spring,day,not manhattan,6.0
39,rainy,spring,night,not manhattan,3.19
39,rainy,summer,day,not manhattan,7.003
39,rainy,summer,night,not manhattan,2.0
39,rainy,winter,day,not manhattan,7.416666666666667
39,rainy,winter,night,not manhattan,1.75
39,sunny,fall,day,not manhattan,3.7231666666666667
39,sunny,fall,night,not manhattan,2.482222222222222
39,sunny,spring,day,not manhattan,2.510975609756098
39,sunny,spring,night,not manhattan,2.1492307692307695
39,sunny,summer,day,not manhattan,1.7736065573770492
39,sunny,summer,night,not manhattan,2.1485714285714286
39,sunny,winter,day,not manhattan,2.5421538461538464
39,sunny,winter,night,not manhattan,1.276470588235294
40,rainy,fall,day,not manhattan,3.317764705882353
40,rainy,fall,night,not manhattan,3.6124
40,rainy,spring,day,not manhattan,2.565081081081081
40,rainy,spring,night,not manhattan,2.1254054054054055
40,rainy,summer,day,not manhattan,2.7866363636363634
40,rainy,summer,night,not manhattan,2.8200000000000003
40,rainy,winter,day,not manhattan,2.6095652173913044
40,rainy,winter,night,not manhattan,2.7160714285714285
40,sunny,fall,day,not manhattan,3.047182741116751
40,sunny,fall,night,not manhattan,2.9483536585365857
40,sunny,spring,day,not manhattan,2.6527718550106614
40,sunny,spring,night,not manhattan,2.6406896551724137
40,sunny,summer,day,not manhattan,2.8655286624203824
40,sunny,summer,night,not manhattan,3.2765596330275226
40,sunny,winter,day,not manhattan,2.9208655332302937
40,sunny,winter,night,not manhattan,2.9789344262295083
41,rainy,fall,day,manhattan,1.8018011435832273
41,rainy,fall,night,manhattan,1.4978393881453156
41,rainy,spring,day,manhattan,1.7418271924154276
41,rainy,spring,night,manhattan,1.551316425120773
41,rainy,summer,day,manhattan,1.7173556861389563
41,rainy,summer,night,manhattan,1.2767142857142857
41,rainy,winter,day,manhattan,1.5960524961399898
41,rainy,winter,night,manhattan,1.6667924528301885
41,sunny,fall,day,manhattan,1.7870470166048293
41,sunny,fall,night,manhattan,1.7439595564253096
41,sunny,spring,day,manhattan,1.7067094099498652
41,sunny,spring,night,manhattan,1.5871149076880684
41,sunny,summer,day,manhattan,1.6483713956170702
41,sunny,summer,night,manhattan,1.5887918347970567
41,sunny,winter,day,manhattan,1.6335084646818447
41,sunny,winter,night,manhattan,1.5418318098720292
42,rainy,fall,day,manhattan,1.3992126909518214
42,rainy,fall,night,manhattan,1.127455621301775
42,rainy,spring,day,manhattan,1.1590909090909092
42,rainy,spring,night,manhattan,0.90875
42,rainy,summer,day,manhattan,1.0854057142857143
42,rainy,summer,night,manhattan,1.0271717171717172
42,rainy,winter,day,manhattan,0.9237510729613735
42,rainy,winter,night,manhattan,1.1044585987261146
42,sunny,fall,day,manhattan,1.2248445135495336
42,sunny,fall,night,manhattan,1.2459959555106168
42,sunny,spring,day,manhattan,1.1150859161715112
42,sunny,spring,night,manhattan,1.0031044558071585
42,sunny,summer,day,manhattan,1.1367908631342445
42,sunny,summer,night,manhattan,1.0745492957746479
42,sunny,winter,day,manhattan,1.0153248092390184
42,sunny,winter,night,manhattan,1.0847270955165693
43,rainy,fall,day,manhattan,2.3115586775394434
