FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,andre_busser_7_19,ogc_fid,wkb_geometry
trafiktaelling.fid--38345ac2_18774556e1b_-7f8b,10101,Rantzausgade-Grønne Sti,KRYDS,,101,Krydstællinger,,,,,14779,,15200,18000,,,,,,,,,,,20170417,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/8dv2MN7XWg.pdf,,,,,,,,1007,POINT (12.544804163799297 55.68829019348755)
trafiktaelling.fid--38345ac2_18774556e1b_-7f8a,10102,Sti ved Nøkkerosevej,,,100,Øvrige tællinger,0,,0,0,43,,0,100,183,200,200,,,,,,,200,20170523,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n6rd4jnP5r.pdf,,,,,,,,1008,POINT (12.539401600166627 55.72371406753276)
trafiktaelling.fid--38345ac2_18774556e1b_-7f89,10103,Tordenskjoldsgade,TRAFIK,13,100,Øvrige tællinger,417,,500,500,379,,400,500,956,1100,1200,,,,,,,1100,20170425,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/BYAQohUg6Y.pdf,,,0,,,,,1009,POINT (12.587316703924314 55.67851327411837)
trafiktaelling.fid--38345ac2_18774556e1b_-7f88,10104,Wildersgade,TRAFIK,34,100,Øvrige tællinger,230,,300,300,116,,100,100,934,1100,1100,,,,,,,1100,20170426,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/16koVaKRx4.pdf,,,0,,,,,1010,POINT (12.590376838500351 55.673374736172185)
trafiktaelling.fid--38345ac2_18774556e1b_-7f87,10105,Gothersgade,FOD,115,100,Øvrige tællinger,,,,,,,,,8216,9600,9900,,,,,,,9600,20170622,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/b6lpNSs16j.pdf,,,,,,,,1011,POINT (12.574485199883847 55.68427809709984)
trafiktaelling.fid--38345ac2_18774556e1b_-7f86,10108,Nybrogade,,22,100,Øvrige tællinger,1349,"1,2",1600,1800,1266,,1300,1500,,,,,,,,,,,20171004,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/pg66cBcAtR.pdf,1.20000005,,,,,,,1012,POINT (12.576096831360365 55.676261898967994)
trafiktaelling.fid--38345ac2_18774556e1b_-7f85,10109,Belvederebroen,,,100,Øvrige tællinger,,,,,1236,,1300,1500,324,400,400,,,,,,,400,20210915,2021,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DAAeVIoKml.pdf,,,,,,,,1013,POINT (12.553151883680954 55.65596556889659)
trafiktaelling.fid--38345ac2_18774556e1b_-7f84,10110,Bernstoffsgade,FODG,4,3,Andre faste tællinger,,,,,,,,,17373,20300,21000,,,,,,,20300,20170608,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/2f05wruNhb.pdf,,,,,,,,1014,POINT (12.564963255557165 55.673903153779776)
trafiktaelling.fid--38345ac2_18774556e1b_-7f83,10111,Frederiksborggade,FODG,37,100,Øvrige tællinger,,,,,,,,,10063,11800,12200,,,,,,,11800,20170620,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/kvpxqS1AJl.pdf,,,,,,,,1015,POINT (12.566525321265258 55.6855308077827)
trafiktaelling.fid--38345ac2_18774556e1b_-7f82,10112,Frederiksholms Kanal,FODG,12,100,Øvrige tællinger,,,,,,,,,4691,5500,5700,,,,,,,5500,20170621,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/O7ReSDM1z7.pdf,,,,,,,,1016,POINT (12.576122739033346 55.67500432855457)
trafiktaelling.fid--38345ac2_18774556e1b_-7f81,10113,Frederiksholms Kanal,FODG,28A,100,Øvrige tællinger,,,,,,,,,1406,1600,1700,,,,,,,1600,20170621,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/N416CSCx0n.pdf,,,,,,,,1017,POINT (12.57811522822455 55.6733649561048)
trafiktaelling.fid--38345ac2_18774556e1b_-7f80,10115,Gothersgade,FODG,3,100,Øvrige tællinger,,,,,,,,,10613,12400,12800,,,,,,,12400,20170622,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/iPn8b6beUU.pdf,,,,,,,,1018,POINT (12.584931929327317 55.681480310256525)
trafiktaelling.fid--38345ac2_18774556e1b_-7f7f,10118,Sankt Annæ Plads,,5,100,Øvrige tællinger,2467,,2900,3200,1726,,1800,2100,,,,,,,,,,,20170613,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/TJEb3Mrm20.pdf,,,,,,,,1019,POINT (12.589371505749039 55.68223509899562)
